prov	numb	name_en	name_cn	latit	longit	elevat
甘肃	52787	S52787	乌鞘岭	37.2	102.8666667	3045.10
甘肃	52978	S52978	夏河	35.2	102.5166667	2929.40
甘肃	56071	S56071	碌曲	34.58333333	102.5	3105.70
甘肃	56074	S56074	玛曲	34	102.0833333	3471.40
甘肃	56080	S56080	合作	35	102.9	2910.00
甘肃	56081	S56081	临潭	34.7	103.349999999999	2810.20
甘肃	56082	S56082	卓尼	34.58333333	103.5	2540.30
甘肃	56084	S56084	迭部	34.0666666699999	103.2333333	2374.20
青海	52602	S52602	冷湖	38.75	93.33333333	2770.00
青海	52707	S52707	小灶火	36.7999999999999	93.6833333299999	2767.00
青海	52818	S52818	格尔木	36.4166666699999	94.9166666699999	2807.60
青海	52825	S52825	诺木洪	36.43333333	96.4333333299999	2790.40
青海	52836	S52836	都兰	36.2999999999999	98.0999999999999	3189.00
青海	52854	S52854	青海湖151	36.58333333	100.4833333	3200.80
青海	52856	S52856	共和	36.2666666699999	100.6166667	2835.00
青海	52863	S52863	互助	36.8166666699999	101.95	2480.00
青海	52866	S52866	西宁	36.73333333	101.75	2295.20
青海	52868	S52868	贵德	36.0166666699999	101.3666667	2273.00
青海	52869	S52869	湟中	36.5	101.5833333	2667.50
青海	52875	S52875	平安	36.5	102.099999999999	2125.00
青海	52877	S52877	化隆	36.1	102.25	2834.70
青海	52908	S52908	五道梁	35.21666667	93.08333333	4612.20
青海	52941	S52941	沙珠玉	36.2666666699999	100.2666667	2872.00
青海	52943	S52943	兴海	35.58333333	99.9833333299999	3323.20
青海	52955	S52955	贵南	35.58333333	100.7333333	3120.00
青海	52957	S52957	同德	35.25	100.599999999999	3148.20
青海	52963	S52963	尖扎	35.93333333	102.0166667	2085.70
青海	52968	S52968	泽库	35.0333333299999	101.4666667	3662.80
青海	52972	S52972	循化	35.85	102.45	1921.00
青海	52974	S52974	同仁	35.5166666699999	102.0166667	2491.40
青海	56004	S56004	沱沱河	34.21666667	92.4333333299999	4533.10
青海	56016	S56016	治多	33.85	95.61666667	4179.10
青海	56018	S56018	杂多	32.8833333299999	95.28333333	4066.40
青海	56021	S56021	曲麻莱	34.11666667	95.7999999999999	4175.00
青海	56029	S56029	玉树	33	96.9666666699999	3716.90
青海	56033	S56033	玛多	34.9166666699999	98.2166666699999	4272.30
青海	56034	S56034	清水河	33.7999999999999	97.1333333299999	4415.40
青海	56043	S56043	玛沁	34.48333333	100.2333333	3719.00
青海	56045	S56045	甘德	33.96666667	99.9	4050.00
青海	56046	S56046	达日	33.75	99.65	3967.50
青海	56065	S56065	河南	34.73333333	101.599999999999	3500.00
青海	56067	S56067	久治	33.43333333	101.4833333	3628.50
青海	56125	S56125	囊谦	32.2	96.4666666699999	3643.70
青海	56151	S56151	班玛	32.93333333	100.75	3530.00
四川	56038	S56038	石渠	32.98333333	98.0999999999999	4200.00
四川	56079	S56079	若尔盖	33.58333333	102.9666667	3441.40
四川	56097	S56097	九寨沟	33.2666666699999	104.25	1440.50
四川	56144	S56144	德格	31.8	98.58333333	3184.00
四川	56146	S56146	甘孜	31.61666667	100	3393.50
四川	56147	S56147	白玉	31.2166666699999	98.83333333	3260.00
四川	56152	S56152	色达	32.2833333299999	100.3333333	3893.90
四川	56158	S56158	炉霍	31.3999999999999	100.666666699999	3250.00
四川	56164	S56164	壤塘	32.2666666699999	100.9833333	3284.80
四川	56167	S56167	道孚	30.98333333	101.1166667	2957.20
四川	56168	S56168	金川	31.48333333	102.0666667	2168.90
四川	56171	S56171	阿坝	32.8999999999999	101.7	3275.10
四川	56172	S56172	马尔康	31.8999999999999	102.2333333	2664.40
四川	56173	S56173	红原	32.7999999999999	102.55	3491.60
四川	56178	S56178	小金	31	102.349999999999	2438.00
四川	56180	S56180	茂县	31.68333333	103.849999999999	1590.10
四川	56182	S56182	松潘	32.6666666699999	103.599999999999	2881.30
四川	56183	S56183	汶川	31.5	103.6166667	1370.10
四川	56184	S56184	理县	31.43333333	103.166666699999	1896.70
四川	56185	S56185	黑水	32.08333333	102.9833333	2400.10
四川	56247	S56247	巴塘	30	99.0999999999999	2589.20
四川	56251	S56251	新龙	30.93333333	100.3166667	3000.00
四川	56257	S56257	理塘	30	100.2666667	3948.90
四川	56263	S56263	丹巴	30.8833333299999	101.8833333	1949.70
四川	56267	S56267	雅江	30.03333333	101.0166667	2600.90
四川	56357	S56357	稻城	29.05	100.3	3727.70
四川	56374	S56374	康定	30.05	101.9666667	2615.70
四川	56441	S56441	得荣	28.7166666699999	99.28333333	2422.90
四川	56443	S56443	乡城	28.93333333	99.7999999999999	2842.00
四川	56459	S56459	木里	27.93333333	101.2666667	2426.50
